GEO_ID,NAME,zip,,P001001
8710000US4215364,ZCTA5,15364, Pennsylvania,869
8710000US4215366,ZCTA5,15366, Pennsylvania,164
8710000US4215361,ZCTA5,15361, Pennsylvania,151
8710000US4215362,ZCTA5,15362, Pennsylvania,767
8710000US4215367,ZCTA5,15367, Pennsylvania,8731
8710000US4215368,ZCTA5,15368, Pennsylvania,473
8710000US4215370,ZCTA5,15370, Pennsylvania,14870
8710000US4215376,ZCTA5,15376, Pennsylvania,1740
8710000US4215377,ZCTA5,15377, Pennsylvania,724
8710000US4215378,ZCTA5,15378, Pennsylvania,106
8710000US4215379,ZCTA5,15379, Pennsylvania,132
8710000US4215380,ZCTA5,15380, Pennsylvania,719
8710000US4215401,ZCTA5,15401, Pennsylvania,32288
8710000US4215410,ZCTA5,15410, Pennsylvania,905
8710000US4215411,ZCTA5,15411, Pennsylvania,661
8710000US4215412,ZCTA5,15412, Pennsylvania,470
8710000US4215413,ZCTA5,15413, Pennsylvania,551
8710000US4215417,ZCTA5,15417, Pennsylvania,9469
8710000US4215419,ZCTA5,15419, Pennsylvania,4492
8710000US4215420,ZCTA5,15420, Pennsylvania,251
8710000US4215421,ZCTA5,15421, Pennsylvania,112
8710000US4215422,ZCTA5,15422, Pennsylvania,220
8710000US4215423,ZCTA5,15423, Pennsylvania,1781
8710000US4215424,ZCTA5,15424, Pennsylvania,2489
8710000US4215425,ZCTA5,15425, Pennsylvania,19270
8710000US4215427,ZCTA5,15427, Pennsylvania,1091
8710000US4215428,ZCTA5,15428, Pennsylvania,1806
8710000US4215429,ZCTA5,15429, Pennsylvania,126
8710000US4215430,ZCTA5,15430, Pennsylvania,314
8710000US4215431,ZCTA5,15431, Pennsylvania,4744
8710000US4215432,ZCTA5,15432, Pennsylvania,427
8710000US4215433,ZCTA5,15433, Pennsylvania,741
8710000US4215434,ZCTA5,15434, Pennsylvania,313
8710000US4215435,ZCTA5,15435, Pennsylvania,437
8710000US4215436,ZCTA5,15436, Pennsylvania,2740
8710000US4215437,ZCTA5,15437, Pennsylvania,2573
8710000US4215443,ZCTA5,15443, Pennsylvania,377
8710000US4215438,ZCTA5,15438, Pennsylvania,2221
8710000US4215440,ZCTA5,15440, Pennsylvania,349
8710000US4215442,ZCTA5,15442, Pennsylvania,2105
8710000US4215444,ZCTA5,15444, Pennsylvania,517
8710000US4215445,ZCTA5,15445, Pennsylvania,2693
8710000US4215446,ZCTA5,15446, Pennsylvania,324
8710000US4215447,ZCTA5,15447, Pennsylvania,181
8710000US4215448,ZCTA5,15448, Pennsylvania,192
8710000US4215449,ZCTA5,15449, Pennsylvania,184
8710000US4215450,ZCTA5,15450, Pennsylvania,2323
8710000US4215451,ZCTA5,15451, Pennsylvania,955
8710000US4215454,ZCTA5,15454, Pennsylvania,237
8710000US4215455,ZCTA5,15455, Pennsylvania,298
8710000US4215456,ZCTA5,15456, Pennsylvania,2976
8710000US4215458,ZCTA5,15458, Pennsylvania,2379
8710000US4215459,ZCTA5,15459, Pennsylvania,1763
8710000US4215460,ZCTA5,15460, Pennsylvania,120
8710000US4215461,ZCTA5,15461, Pennsylvania,4333
8710000US4215462,ZCTA5,15462, Pennsylvania,398
8710000US4215463,ZCTA5,15463, Pennsylvania,64
8710000US4215464,ZCTA5,15464, Pennsylvania,1536
8710000US4215466,ZCTA5,15466, Pennsylvania,458
8710000US4215467,ZCTA5,15467, Pennsylvania,141
8710000US4215468,ZCTA5,15468, Pennsylvania,2303
8710000US4215469,ZCTA5,15469, Pennsylvania,2331
8710000US4217842,ZCTA5,17842, Pennsylvania,8910
8710000US4217837,ZCTA5,17837, Pennsylvania,19815
8710000US4217840,ZCTA5,17840, Pennsylvania,533
8710000US4217841,ZCTA5,17841, Pennsylvania,4779
8710000US4217844,ZCTA5,17844, Pennsylvania,10042
8710000US4217845,ZCTA5,17845, Pennsylvania,2245
8710000US4217846,ZCTA5,17846, Pennsylvania,3738
8710000US4217847,ZCTA5,17847, Pennsylvania,12051
8710000US4217850,ZCTA5,17850, Pennsylvania,645
8710000US4217851,ZCTA5,17851, Pennsylvania,7841
8710000US4217853,ZCTA5,17853, Pennsylvania,3221
8710000US4217855,ZCTA5,17855, Pennsylvania,992
8710000US4217856,ZCTA5,17856, Pennsylvania,3365
8710000US4217857,ZCTA5,17857, Pennsylvania,7505
8710000US4217859,ZCTA5,17859, Pennsylvania,3106
8710000US4217860,ZCTA5,17860, Pennsylvania,1994
8710000US4217861,ZCTA5,17861, Pennsylvania,143
8710000US4217862,ZCTA5,17862, Pennsylvania,577
8710000US4217864,ZCTA5,17864, Pennsylvania,2445
8710000US4217865,ZCTA5,17865, Pennsylvania,92
8710000US4217866,ZCTA5,17866, Pennsylvania,10310
8710000US4217867,ZCTA5,17867, Pennsylvania,169
8710000US4217868,ZCTA5,17868, Pennsylvania,1052
8710000US4217870,ZCTA5,17870, Pennsylvania,14564
8710000US4217872,ZCTA5,17872, Pennsylvania,9943
8710000US4217876,ZCTA5,17876, Pennsylvania,1698
8710000US4217878,ZCTA5,17878, Pennsylvania,1528
8710000US4217880,ZCTA5,17880, Pennsylvania,72
8710000US4217881,ZCTA5,17881, Pennsylvania,1556
8710000US4217884,ZCTA5,17884, Pennsylvania,305
8710000US4217885,ZCTA5,17885, Pennsylvania,141
8710000US4217886,ZCTA5,17886, Pennsylvania,895
8710000US4217887,ZCTA5,17887, Pennsylvania,1778
8710000US4217888,ZCTA5,17888, Pennsylvania,326
8710000US4217889,ZCTA5,17889, Pennsylvania,2735
8710000US4217901,ZCTA5,17901, Pennsylvania,23990
8710000US4217920,ZCTA5,17920, Pennsylvania,331
8710000US4217921,ZCTA5,17921, Pennsylvania,7676
8710000US4217922,ZCTA5,17922, Pennsylvania,4783
8710000US4217923,ZCTA5,17923, Pennsylvania,433
8710000US4217930,ZCTA5,17930, Pennsylvania,476
8710000US4217931,ZCTA5,17931, Pennsylvania,8472
8710000US4217925,ZCTA5,17925, Pennsylvania,376
8710000US4217929,ZCTA5,17929, Pennsylvania,1606
8710000US4217933,ZCTA5,17933, Pennsylvania,89
8710000US4217934,ZCTA5,17934, Pennsylvania,469
8710000US4217935,ZCTA5,17935, Pennsylvania,1737
8710000US4217936,ZCTA5,17936, Pennsylvania,763
8710000US4217938,ZCTA5,17938, Pennsylvania,2442
8710000US4217941,ZCTA5,17941, Pennsylvania,834
8710000US4217943,ZCTA5,17943, Pennsylvania,229
8710000US4217944,ZCTA5,17944, Pennsylvania,205
8710000US4217945,ZCTA5,17945, Pennsylvania,180
8710000US4217946,ZCTA5,17946, Pennsylvania,263
8710000US4217948,ZCTA5,17948, Pennsylvania,5029
8710000US4217949,ZCTA5,17949, Pennsylvania,263
8710000US4217951,ZCTA5,17951, Pennsylvania,325
8710000US4217952,ZCTA5,17952, Pennsylvania,282
8710000US4217953,ZCTA5,17953, Pennsylvania,469
8710000US4217954,ZCTA5,17954, Pennsylvania,4564
8710000US4217957,ZCTA5,17957, Pennsylvania,328
8710000US4217959,ZCTA5,17959, Pennsylvania,1422
8710000US4215222,ZCTA5,15222, Pennsylvania,3294
8710000US4215223,ZCTA5,15223, Pennsylvania,7236
8710000US4215224,ZCTA5,15224, Pennsylvania,10141
8710000US4215225,ZCTA5,15225, Pennsylvania,1084
8710000US4215226,ZCTA5,15226, Pennsylvania,13974
8710000US4215227,ZCTA5,15227, Pennsylvania,28156
8710000US4215228,ZCTA5,15228, Pennsylvania,17595
8710000US4215229,ZCTA5,15229, Pennsylvania,13825
8710000US4215232,ZCTA5,15232, Pennsylvania,11374
8710000US4215233,ZCTA5,15233, Pennsylvania,4451
8710000US4215234,ZCTA5,15234, Pennsylvania,14056
8710000US4215235,ZCTA5,15235, Pennsylvania,34580
8710000US4215236,ZCTA5,15236, Pennsylvania,29724
8710000US4215237,ZCTA5,15237, Pennsylvania,41895
8710000US4215243,ZCTA5,15243, Pennsylvania,13406
8710000US4215238,ZCTA5,15238, Pennsylvania,13162
8710000US4215239,ZCTA5,15239, Pennsylvania,21024
8710000US4215241,ZCTA5,15241, Pennsylvania,20395
8710000US4215260,ZCTA5,15260, Pennsylvania,0
8710000US4215290,ZCTA5,15290, Pennsylvania,0
8710000US4215301,ZCTA5,15301, Pennsylvania,49331
8710000US4215310,ZCTA5,15310, Pennsylvania,290
8710000US4215311,ZCTA5,15311, Pennsylvania,1391
8710000US4215312,ZCTA5,15312, Pennsylvania,3579
8710000US4215313,ZCTA5,15313, Pennsylvania,377
8710000US4215314,ZCTA5,15314, Pennsylvania,3788
8710000US4215315,ZCTA5,15315, Pennsylvania,776
8710000US4215316,ZCTA5,15316, Pennsylvania,131
8710000US4215317,ZCTA5,15317, Pennsylvania,36535
8710000US4215320,ZCTA5,15320, Pennsylvania,5384
8710000US4215321,ZCTA5,15321, Pennsylvania,1676
8710000US4215322,ZCTA5,15322, Pennsylvania,2018
8710000US4215323,ZCTA5,15323, Pennsylvania,4542
8710000US4215324,ZCTA5,15324, Pennsylvania,632
8710000US4215325,ZCTA5,15325, Pennsylvania,439
8710000US4215327,ZCTA5,15327, Pennsylvania,1527
8710000US4215329,ZCTA5,15329, Pennsylvania,1709
8710000US4215330,ZCTA5,15330, Pennsylvania,5299
8710000US4215331,ZCTA5,15331, Pennsylvania,1090
8710000US4215332,ZCTA5,15332, Pennsylvania,8148
8710000US4215333,ZCTA5,15333, Pennsylvania,2150
8710000US4215334,ZCTA5,15334, Pennsylvania,113
8710000US4215337,ZCTA5,15337, Pennsylvania,744
8710000US4215338,ZCTA5,15338, Pennsylvania,1606
8710000US4215340,ZCTA5,15340, Pennsylvania,1469
8710000US4215345,ZCTA5,15345, Pennsylvania,1642
8710000US4215341,ZCTA5,15341, Pennsylvania,869
8710000US4215342,ZCTA5,15342, Pennsylvania,4818
8710000US4215344,ZCTA5,15344, Pennsylvania,1450
8710000US4215346,ZCTA5,15346, Pennsylvania,749
8710000US4215347,ZCTA5,15347, Pennsylvania,582
8710000US4215348,ZCTA5,15348, Pennsylvania,283
8710000US4215349,ZCTA5,15349, Pennsylvania,1737
8710000US4215350,ZCTA5,15350, Pennsylvania,425
8710000US4215351,ZCTA5,15351, Pennsylvania,901
8710000US4215352,ZCTA5,15352, Pennsylvania,987
8710000US4215353,ZCTA5,15353, Pennsylvania,64
8710000US4215357,ZCTA5,15357, Pennsylvania,1661
8710000US4215358,ZCTA5,15358, Pennsylvania,923
8710000US4215359,ZCTA5,15359, Pennsylvania,174
8710000US4215363,ZCTA5,15363, Pennsylvania,760
8710000US4215360,ZCTA5,15360, Pennsylvania,1731
8710000US4217584,ZCTA5,17584, Pennsylvania,8957
8710000US4217606,ZCTA5,17606, Pennsylvania,392
8710000US4217601,ZCTA5,17601, Pennsylvania,49779
8710000US4217602,ZCTA5,17602, Pennsylvania,52452
8710000US4217603,ZCTA5,17603, Pennsylvania,61973
8710000US4217701,ZCTA5,17701, Pennsylvania,44661
8710000US4217702,ZCTA5,17702, Pennsylvania,10721
8710000US4217721,ZCTA5,17721, Pennsylvania,1604
8710000US4217723,ZCTA5,17723, Pennsylvania,34
8710000US4217724,ZCTA5,17724, Pennsylvania,5424
8710000US4217727,ZCTA5,17727, Pennsylvania,72
8710000US4217728,ZCTA5,17728, Pennsylvania,5120
8710000US4217729,ZCTA5,17729, Pennsylvania,159
8710000US4217730,ZCTA5,17730, Pennsylvania,257
8710000US4217731,ZCTA5,17731, Pennsylvania,185
8710000US4217737,ZCTA5,17737, Pennsylvania,6220
8710000US4217739,ZCTA5,17739, Pennsylvania,32
8710000US4217740,ZCTA5,17740, Pennsylvania,12754
8710000US4217742,ZCTA5,17742, Pennsylvania,39
8710000US4217744,ZCTA5,17744, Pennsylvania,3175
8710000US4217745,ZCTA5,17745, Pennsylvania,19063
8710000US4217747,ZCTA5,17747, Pennsylvania,3073
8710000US4217748,ZCTA5,17748, Pennsylvania,300
8710000US4217749,ZCTA5,17749, Pennsylvania,244
8710000US4217750,ZCTA5,17750, Pennsylvania,167
8710000US4217751,ZCTA5,17751, Pennsylvania,7084
8710000US4217752,ZCTA5,17752, Pennsylvania,4635
8710000US4217754,ZCTA5,17754, Pennsylvania,12233
8710000US4217756,ZCTA5,17756, Pennsylvania,12408
8710000US4217758,ZCTA5,17758, Pennsylvania,919
8710000US4217760,ZCTA5,17760, Pennsylvania,557
8710000US4217762,ZCTA5,17762, Pennsylvania,503
8710000US4217763,ZCTA5,17763, Pennsylvania,309
8710000US4217764,ZCTA5,17764, Pennsylvania,2327
8710000US4217765,ZCTA5,17765, Pennsylvania,1162
8710000US4217767,ZCTA5,17767, Pennsylvania,91
8710000US4217768,ZCTA5,17768, Pennsylvania,377
8710000US4217771,ZCTA5,17771, Pennsylvania,3158
8710000US4217772,ZCTA5,17772, Pennsylvania,2399
8710000US4217774,ZCTA5,17774, Pennsylvania,1277
8710000US4217776,ZCTA5,17776, Pennsylvania,295
8710000US4217777,ZCTA5,17777, Pennsylvania,7056
8710000US4217778,ZCTA5,17778, Pennsylvania,102
8710000US4217779,ZCTA5,17779, Pennsylvania,235
8710000US4217801,ZCTA5,17801, Pennsylvania,16671
8710000US4217810,ZCTA5,17810, Pennsylvania,4683
8710000US4217812,ZCTA5,17812, Pennsylvania,1480
8710000US4217813,ZCTA5,17813, Pennsylvania,1979
8710000US4217814,ZCTA5,17814, Pennsylvania,4860
8710000US4217815,ZCTA5,17815, Pennsylvania,30967
8710000US4217823,ZCTA5,17823, Pennsylvania,1273
8710000US4217820,ZCTA5,17820, Pennsylvania,5556
8710000US4217821,ZCTA5,17821, Pennsylvania,18219
8710000US4217822,ZCTA5,17822, Pennsylvania,0
8710000US4217824,ZCTA5,17824, Pennsylvania,4115
8710000US4217827,ZCTA5,17827, Pennsylvania,657
8710000US4217829,ZCTA5,17829, Pennsylvania,244
8710000US4217835,ZCTA5,17835, Pennsylvania,219
8710000US4217830,ZCTA5,17830, Pennsylvania,1947
8710000US4217832,ZCTA5,17832, Pennsylvania,628
8710000US4217834,ZCTA5,17834, Pennsylvania,3565
8710000US4217836,ZCTA5,17836, Pennsylvania,266
8710000US4216941,ZCTA5,16941, Pennsylvania,69
8710000US4216942,ZCTA5,16942, Pennsylvania,847
8710000US4216943,ZCTA5,16943, Pennsylvania,549
8710000US4216950,ZCTA5,16950, Pennsylvania,3378
8710000US4216946,ZCTA5,16946, Pennsylvania,2484
8710000US4216947,ZCTA5,16947, Pennsylvania,4818
8710000US4216948,ZCTA5,16948, Pennsylvania,1634
8710000US4217005,ZCTA5,17005, Pennsylvania,368
8710000US4217002,ZCTA5,17002, Pennsylvania,784
8710000US4217003,ZCTA5,17003, Pennsylvania,11720
8710000US4217004,ZCTA5,17004, Pennsylvania,5000
8710000US4217006,ZCTA5,17006, Pennsylvania,1052
8710000US4217007,ZCTA5,17007, Pennsylvania,5591
8710000US4217009,ZCTA5,17009, Pennsylvania,2007
8710000US4217010,ZCTA5,17010, Pennsylvania,182
8710000US4217011,ZCTA5,17011, Pennsylvania,34586
8710000US4217013,ZCTA5,17013, Pennsylvania,34575
8710000US4217018,ZCTA5,17018, Pennsylvania,4313
8710000US4217015,ZCTA5,17015, Pennsylvania,20798
8710000US4217016,ZCTA5,17016, Pennsylvania,799
8710000US4217017,ZCTA5,17017, Pennsylvania,1755
8710000US4217022,ZCTA5,17022, Pennsylvania,29602
8710000US4217019,ZCTA5,17019, Pennsylvania,17721
8710000US4217020,ZCTA5,17020, Pennsylvania,9047
8710000US4217021,ZCTA5,17021, Pennsylvania,1088
8710000US4217023,ZCTA5,17023, Pennsylvania,3535
8710000US4217024,ZCTA5,17024, Pennsylvania,1893
8710000US4217025,ZCTA5,17025, Pennsylvania,16778
8710000US4217026,ZCTA5,17026, Pennsylvania,3616
8710000US4217027,ZCTA5,17027, Pennsylvania,2141
8710000US4217028,ZCTA5,17028, Pennsylvania,3720
8710000US4217029,ZCTA5,17029, Pennsylvania,371
8710000US4217030,ZCTA5,17030, Pennsylvania,832
8710000US4217032,ZCTA5,17032, Pennsylvania,8192
8710000US4217033,ZCTA5,17033, Pennsylvania,16972
8710000US4217034,ZCTA5,17034, Pennsylvania,2414
8710000US4217035,ZCTA5,17035, Pennsylvania,839
8710000US4217036,ZCTA5,17036, Pennsylvania,21913
8710000US4217037,ZCTA5,17037, Pennsylvania,1126
8710000US4217038,ZCTA5,17038, Pennsylvania,8219
8710000US4217039,ZCTA5,17039, Pennsylvania,37
8710000US4217040,ZCTA5,17040, Pennsylvania,2787
8710000US4217041,ZCTA5,17041, Pennsylvania,213
8710000US4217042,ZCTA5,17042, Pennsylvania,37133
8710000US4217043,ZCTA5,17043, Pennsylvania,5957
8710000US4217044,ZCTA5,17044, Pennsylvania,21209
8710000US4217045,ZCTA5,17045, Pennsylvania,3350
8710000US4217046,ZCTA5,17046, Pennsylvania,29790
8710000US4218612,ZCTA5,18612, Pennsylvania,18051
8710000US4218614,ZCTA5,18614, Pennsylvania,2426
8710000US4218615,ZCTA5,18615, Pennsylvania,1867
8710000US4218616,ZCTA5,18616, Pennsylvania,738
8710000US4218617,ZCTA5,18617, Pennsylvania,1924
8710000US4218618,ZCTA5,18618, Pennsylvania,3793
8710000US4218619,ZCTA5,18619, Pennsylvania,273
8710000US4218621,ZCTA5,18621, Pennsylvania,6248
8710000US4218622,ZCTA5,18622, Pennsylvania,257
8710000US4218623,ZCTA5,18623, Pennsylvania,2733
8710000US4218624,ZCTA5,18624, Pennsylvania,718
8710000US4218625,ZCTA5,18625, Pennsylvania,491
8710000US4218626,ZCTA5,18626, Pennsylvania,516
8710000US4218628,ZCTA5,18628, Pennsylvania,192
8710000US4218629,ZCTA5,18629, Pennsylvania,1801
8710000US4218630,ZCTA5,18630, Pennsylvania,3556
8710000US4218631,ZCTA5,18631, Pennsylvania,1286
8710000US4218632,ZCTA5,18632, Pennsylvania,409
8710000US4218634,ZCTA5,18634, Pennsylvania,13569
8710000US4218635,ZCTA5,18635, Pennsylvania,3881
8710000US4218636,ZCTA5,18636, Pennsylvania,1438
8710000US4218640,ZCTA5,18640, Pennsylvania,17155
8710000US4218641,ZCTA5,18641, Pennsylvania,6812
8710000US4218642,ZCTA5,18642, Pennsylvania,4345
8710000US4218643,ZCTA5,18643, Pennsylvania,12908
8710000US4218644,ZCTA5,18644, Pennsylvania,7546
8710000US4218651,ZCTA5,18651, Pennsylvania,8880
8710000US4217047,ZCTA5,17047, Pennsylvania,2526
8710000US4217048,ZCTA5,17048, Pennsylvania,4046
8710000US4217049,ZCTA5,17049, Pennsylvania,3360
8710000US4217050,ZCTA5,17050, Pennsylvania,32815
8710000US4217051,ZCTA5,17051, Pennsylvania,4653
8710000US4217052,ZCTA5,17052, Pennsylvania,1635
8710000US4217053,ZCTA5,17053, Pennsylvania,5001
8710000US4217055,ZCTA5,17055, Pennsylvania,34237
8710000US4217056,ZCTA5,17056, Pennsylvania,128
8710000US4217057,ZCTA5,17057, Pennsylvania,21329
8710000US4217058,ZCTA5,17058, Pennsylvania,1909
8710000US4217059,ZCTA5,17059, Pennsylvania,7579
8710000US4217060,ZCTA5,17060, Pennsylvania,1334
8710000US4217061,ZCTA5,17061, Pennsylvania,7157
8710000US4215003,ZCTA5,15003, Pennsylvania,11861
8710000US4215004,ZCTA5,15004, Pennsylvania,351
8710000US4215005,ZCTA5,15005, Pennsylvania,9450
8710000US4215006,ZCTA5,15006, Pennsylvania,240
8710000US4215007,ZCTA5,15007, Pennsylvania,323
8710000US4215009,ZCTA5,15009, Pennsylvania,15082
8710000US4215010,ZCTA5,15010, Pennsylvania,28425
8710000US4215012,ZCTA5,15012, Pennsylvania,15905
8710000US4215014,ZCTA5,15014, Pennsylvania,3184
8710000US4215015,ZCTA5,15015, Pennsylvania,1175
8710000US4215017,ZCTA5,15017, Pennsylvania,16213
8710000US4215018,ZCTA5,15018, Pennsylvania,821
8710000US4215019,ZCTA5,15019, Pennsylvania,1719
8710000US4215020,ZCTA5,15020, Pennsylvania,231
8710000US4215021,ZCTA5,15021, Pennsylvania,7352
8710000US4215022,ZCTA5,15022, Pennsylvania,10340
8710000US4215024,ZCTA5,15024, Pennsylvania,9029
8710000US4215025,ZCTA5,15025, Pennsylvania,15944
8710000US4215026,ZCTA5,15026, Pennsylvania,3390
8710000US4215027,ZCTA5,15027, Pennsylvania,2201
8710000US4215470,ZCTA5,15470, Pennsylvania,982
8710000US4215472,ZCTA5,15472, Pennsylvania,306
8710000US4215473,ZCTA5,15473, Pennsylvania,3862
8710000US4215474,ZCTA5,15474, Pennsylvania,2049
8710000US4215475,ZCTA5,15475, Pennsylvania,1356
8710000US4215476,ZCTA5,15476, Pennsylvania,157
8710000US4215477,ZCTA5,15477, Pennsylvania,855
8710000US4215478,ZCTA5,15478, Pennsylvania,6446
8710000US4215479,ZCTA5,15479, Pennsylvania,2113
8710000US4215480,ZCTA5,15480, Pennsylvania,1946
8710000US4215482,ZCTA5,15482, Pennsylvania,604
8710000US4215483,ZCTA5,15483, Pennsylvania,513
8710000US4215484,ZCTA5,15484, Pennsylvania,328
8710000US4215486,ZCTA5,15486, Pennsylvania,2303
8710000US4215492,ZCTA5,15492, Pennsylvania,108
8710000US4215501,ZCTA5,15501, Pennsylvania,16861
8710000US4215489,ZCTA5,15489, Pennsylvania,389
8710000US4215490,ZCTA5,15490, Pennsylvania,628
8710000US4215502,ZCTA5,15502, Pennsylvania,191
8710000US4215510,ZCTA5,15510, Pennsylvania,2229
8710000US4215520,ZCTA5,15520, Pennsylvania,293
8710000US4215521,ZCTA5,15521, Pennsylvania,1872
8710000US4215522,ZCTA5,15522, Pennsylvania,12036
8710000US4215530,ZCTA5,15530, Pennsylvania,5368
8710000US4215531,ZCTA5,15531, Pennsylvania,3861
8710000US4215532,ZCTA5,15532, Pennsylvania,142
8710000US4215533,ZCTA5,15533, Pennsylvania,1370
8710000US4215534,ZCTA5,15534, Pennsylvania,932
8710000US4215535,ZCTA5,15535, Pennsylvania,2203
8710000US4215536,ZCTA5,15536, Pennsylvania,459
8710000US4215537,ZCTA5,15537, Pennsylvania,7952
8710000US4215538,ZCTA5,15538, Pennsylvania,824
8710000US4216133,ZCTA5,16133, Pennsylvania,1573
8710000US4216134,ZCTA5,16134, Pennsylvania,3886
8710000US4216136,ZCTA5,16136, Pennsylvania,801
8710000US4216137,ZCTA5,16137, Pennsylvania,12941
8710000US4216140,ZCTA5,16140, Pennsylvania,123
8710000US4216141,ZCTA5,16141, Pennsylvania,1806
8710000US4216142,ZCTA5,16142, Pennsylvania,7056
8710000US4216143,ZCTA5,16143, Pennsylvania,2901
8710000US4216145,ZCTA5,16145, Pennsylvania,2726
8710000US4216146,ZCTA5,16146, Pennsylvania,14040
8710000US4216153,ZCTA5,16153, Pennsylvania,2624
8710000US4216148,ZCTA5,16148, Pennsylvania,16959
8710000US4216150,ZCTA5,16150, Pennsylvania,7426
8710000US4216151,ZCTA5,16151, Pennsylvania,77
8710000US4216154,ZCTA5,16154, Pennsylvania,2492
8710000US4216155,ZCTA5,16155, Pennsylvania,103
8710000US4216156,ZCTA5,16156, Pennsylvania,3319
8710000US4216157,ZCTA5,16157, Pennsylvania,3477
8710000US4216159,ZCTA5,16159, Pennsylvania,4706
8710000US4216160,ZCTA5,16160, Pennsylvania,864
8710000US4216161,ZCTA5,16161, Pennsylvania,644
8710000US4216201,ZCTA5,16201, Pennsylvania,18214
8710000US4215028,ZCTA5,15028, Pennsylvania,142
8710000US4215030,ZCTA5,15030, Pennsylvania,1128
8710000US4215031,ZCTA5,15031, Pennsylvania,513
8710000US4215033,ZCTA5,15033, Pennsylvania,4910
8710000US4215034,ZCTA5,15034, Pennsylvania,1792
8710000US4215042,ZCTA5,15042, Pennsylvania,8105
8710000US4215035,ZCTA5,15035, Pennsylvania,2129
8710000US4215037,ZCTA5,15037, Pennsylvania,10894
8710000US4215038,ZCTA5,15038, Pennsylvania,325
8710000US4215043,ZCTA5,15043, Pennsylvania,2458
8710000US4215044,ZCTA5,15044, Pennsylvania,27049
8710000US4215045,ZCTA5,15045, Pennsylvania,4483
8710000US4215046,ZCTA5,15046, Pennsylvania,2640
8710000US4215047,ZCTA5,15047, Pennsylvania,151
8710000US4215049,ZCTA5,15049, Pennsylvania,895
8710000US4215050,ZCTA5,15050, Pennsylvania,2431
8710000US4215051,ZCTA5,15051, Pennsylvania,461
8710000US4215052,ZCTA5,15052, Pennsylvania,3483
8710000US4215053,ZCTA5,15053, Pennsylvania,154
8710000US4215054,ZCTA5,15054, Pennsylvania,375
8710000US4215055,ZCTA5,15055, Pennsylvania,1360
8710000US4215056,ZCTA5,15056, Pennsylvania,1140
8710000US4215062,ZCTA5,15062, Pennsylvania,7731
8710000US4215001,ZCTA5,15001, Pennsylvania,31964
8710000US4215057,ZCTA5,15057, Pennsylvania,13930
8710000US4215059,ZCTA5,15059, Pennsylvania,4193
8710000US4215060,ZCTA5,15060, Pennsylvania,790
8710000US4215061,ZCTA5,15061, Pennsylvania,12799
8710000US4215063,ZCTA5,15063, Pennsylvania,11677
8710000US4215064,ZCTA5,15064, Pennsylvania,382
8710000US4215065,ZCTA5,15065, Pennsylvania,11588
8710000US4215066,ZCTA5,15066, Pennsylvania,12785
8710000US4215067,ZCTA5,15067, Pennsylvania,2281
8710000US4215068,ZCTA5,15068, Pennsylvania,38785
8710000US4215071,ZCTA5,15071, Pennsylvania,9956
8710000US4215072,ZCTA5,15072, Pennsylvania,101
8710000US4215074,ZCTA5,15074, Pennsylvania,8874
8710000US4217237,ZCTA5,17237, Pennsylvania,1917
